ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",766987,0,0.266,0.7191,0.0149,585465,0.6314,0.3686,0.143,0.1861,0.0151,0.0272,0.0012,
"2",766987,0,0.3589,0.6199,0.0212,565217,0.5266,0.4734,0.258,0.1229,0.073,0.0275,0.003,
"3",766987,0,0.3751,0.6014,0.0235,559537,0.5776,0.4224,0.1723,0.1137,0.1115,0.0296,0.0021,
"4",766987,0,0.3752,0.6046,0.0202,576718,0.6074,0.3926,0.1093,0.0986,0.156,0.0287,0.0018,
"5",766987,0,0.3957,0.5857,0.0186,575347,0.514,0.486,0.2624,0.1652,0.0382,0.0307,0.0015,
"6",766987,0,0.3724,0.6061,0.0216,576920,0.5071,0.4929,0.2821,0.1287,0.0588,0.0318,0.0035,
"7",766987,0,0.6388,0.3392,0.0221,592451,0.312,0.688,0.3285,0.1646,0.1892,0.0217,0.0018,
"8",766987,0,0.3933,0.5878,0.0189,572866,0.4198,0.5802,0.313,0.1758,0.0777,0.0287,0.0018,
"9",766987,0,0.4663,0.5163,0.0174,555835,0.2826,0.7174,0.5863,0.1024,0.0198,0.0298,0.0013,
"10",766987,0,0.399,0.5764,0.0246,607084,0.6252,0.3748,0.1886,0.0991,0.0661,0.024,0.0017,
"11",766987,0,0.3309,0.6474,0.0217,573499,0.5109,0.4891,0.353,0.0705,0.0468,0.0272,0.0024,
"12",766987,0,0.3885,0.5888,0.0227,574244,0.5378,0.4622,0.298,0.0988,0.0437,0.0295,0.0022,
"13",766987,0,0.2598,0.719,0.0211,585859,0.6183,0.3817,0.2459,0.0767,0.0312,0.0348,0.0018,
"14",766987,0,0.3741,0.6066,0.0192,576965,0.5355,0.4645,0.2158,0.1645,0.066,0.0243,0.0015,
"15",766987,0,0.5142,0.468,0.0178,548298,0.1793,0.8207,0.7832,0.0194,0.0129,0.0164,0.0007,
"16",766987,0,0.6807,0.2884,0.0309,575747,0.1302,0.8698,0.8068,0.0411,0.0216,0.025,0.0031,
"17",766987,0,0.3967,0.5778,0.0255,577865,0.5904,0.4096,0.2153,0.1137,0.0588,0.0283,0.0022,
"18",766987,0,0.8121,0.1708,0.0171,584155,0.1474,0.8526,0.3217,0.4502,0.082,0.0208,0.0017,
"19",766987,0,0.2544,0.7248,0.0208,578679,0.5369,0.4631,0.3474,0.0737,0.0241,0.0268,0.0017,
"20",766987,0,0.6867,0.2877,0.0257,577537,0.184,0.816,0.669,0.1079,0.0387,0.0307,0.0035,
"21",766987,0,0.3859,0.5902,0.024,612155,0.5726,0.4274,0.3189,0.0489,0.0424,0.0279,0.0067,
"22",766987,0,0.38,0.5999,0.0201,561423,0.4586,0.5414,0.2703,0.114,0.1428,0.0217,0.0014,
"23",766987,0,0.4477,0.5304,0.022,563720,0.3342,0.6658,0.5686,0.0522,0.0382,0.0227,0.0029,
"24",766987,0,0.3921,0.5849,0.023,585881,0.6335,0.3665,0.1588,0.0778,0.1046,0.0263,0.0046,
"25",766987,0,0.4042,0.5769,0.0189,576023,0.5086,0.4914,0.2379,0.1985,0.0351,0.0286,0.0025,
"26",766987,0,0.3691,0.6074,0.0235,573937,0.5891,0.4109,0.18,0.1072,0.0981,0.0309,0.002,
"27",766987,0,0.3905,0.5883,0.0212,575420,0.4816,0.5184,0.4049,0.0754,0.0224,0.0267,0.0015,
"28",766987,0,0.6061,0.3744,0.0195,542258,0.086,0.914,0.895,0.0071,0.0083,0.015,0.0006,
"29",766987,0,0.718,0.2635,0.0184,548260,0.1282,0.8718,0.5568,0.2731,0.041,0.0309,0.0026,
"30",766987,0,0.7701,0.2118,0.0182,555763,0.1542,0.8458,0.3236,0.4662,0.0524,0.0254,0.0016,
"31",766987,0,0.3765,0.5973,0.0262,571338,0.5691,0.4309,0.2058,0.1546,0.0495,0.0307,0.0091,
"32",766987,0,0.4214,0.557,0.0216,592618,0.5237,0.4763,0.2168,0.1357,0.1031,0.0285,0.0017,
"33",766987,0,0.7095,0.2674,0.0231,580868,0.268,0.732,0.5025,0.1568,0.0637,0.0316,0.0015,
"34",766987,0,0.5167,0.4628,0.0205,565686,0.2126,0.7874,0.7371,0.0242,0.0199,0.0185,0.0013,
"35",766987,0,0.4672,0.5095,0.0234,571449,0.3455,0.6545,0.5373,0.0822,0.0256,0.0298,0.0035,
"36",766987,0,0.3942,0.5887,0.0171,577079,0.4845,0.5155,0.2385,0.1872,0.0748,0.0236,0.0015,
"37",766987,0,0.7876,0.1813,0.0311,621812,0.4722,0.5278,0.3403,0.0945,0.081,0.0286,0.0023,
"38",766986,0,0.3745,0.6049,0.0206,570722,0.5184,0.4816,0.2436,0.1072,0.1166,0.0242,0.0017,
"",29145505,1,0.4526,0.5257,0.0217,21866700,0.4316,0.5684,0.3616,0.1298,0.0621,0.0267,0.0024,
